arrest,beat,block,community_area,description,district,domestic,fbi_code,iucr,location_description,location_type,primary_type,ward,year
,1732,0000X N LOTUS AVE,,POCKET-PICKING,,,,1582,,,,,
,1733,0000X N MASON AVE,,POS: CHEMICAL/DRY-ICE DEVICE,,,,1585,,,,,
,1811,0000X N MAY ST,,POS: EXPLOSIVE/INCENDIARY DEV,,,,1590,,,,,
,1812,0000X N MAYFIELD AVE,,POS: HYPODERMIC NEEDLE,,,,1610,,,,,
,1813,0000X N MENARD AVE,,POS: PORNOGRAPHIC PRINT,,,,1611,,,,,
,1814,0000X N MICHIGAN AVE,,POSS FIREARM/AMMO:NO FOID CARD,,,,1620,,,,,
,1821,0000X N MORGAN ST,,POSS. KEYS OR DEV.TO COIN MACH,,,,1621,,,,,
,1822,0000X N OAKLEY BLVD,,POSS: AMPHETAMINES,,,,1622,,,,,
,1823,0000X N OGDEN AVE,,POSS: BARBITUATES,,,,1623,,,,,
,1824,0000X N PARKSIDE AVE,,POSS: CANNABIS 30GMS OR LESS,,,,1624,,,,,
,1831,0000X N PAULINA ST,,POSS: CANNABIS MORE THAN 30GMS,,,,1625,,,,,
,1832,0000X N PINE AVE,,POSS: COCAINE,,,,1626,,,,,
,1833,0000X N PULASKI RD,,POSS: CRACK,,,,1627,,,,,
,1834,0000X N RACINE AVE,,POSS: HALLUCINOGENS,,,,1630,,,,,
,1911,0000X N RIVERSIDE PLZ,,POSS: HEROIN(BLACK TAR),,,,1631,,,,,
,1912,0000X N SACRAMENTO BLVD,,POSS: HEROIN(BRN/TAN),,,,1632,,,,,
,1913,0000X N SANGAMON ST,,POSS: HEROIN(WHITE),,,,1633,,,,,
,1914,0000X N STATE ST,,POSS: LOOK-ALIKE DRUGS,,,,1640,,,,,
,1915,0000X N THROOP ST,,POSS: METHAMPHETAMINES,,,,1650,,,,,
,1921,0000X N WABASH AVE,,POSS: PCP,,,,1651,,,,,
,1922,0000X N WACKER DR,,POSS: SYNTHETIC DRUGS,,,,1661,,,,,
,1923,0000X N WALLER AVE,,POSSESSION OF BURGLARY TOOLS,,,,1670,,,,,
,1924,0000X N WASHTENAW AVE,,POSSESSION OF DRUG EQUIPMENT,,,,1680,,,,,
,1925,0000X N WELLS ST,,POSSESSION: SYNTHETIC MARIJUANA,,,,1681,,,,,
,1931,0000X N WESTERN AVE,,PREDATORY,,,,1682,,,,,
,1932,0000X N WOOD ST,,PRO EMP HANDS NO/MIN INJURY,,,,1690,,,,,
,1933,0000X S A2 ST,,PROBATION VIOLATION,,,,1691,,,,,
,1934,0000X S ABERDEEN ST,,PROHIBITED PLACES,,,,1692,,,,,
,1935,0000X S ALBANY AVE,,PUBLIC DEMONSTRATION,,,,1693,,,,,
,2011,0000X S ASHLAND AVE,,PUBLIC INDECENCY,,,,1694,,,,,
,2012,0000X S AUSTIN BLVD,,PURSE-SNATCHING,,,,1695,,,,,
,2013,0000X S B11 ST,,RECKLESS CONDUCT,,,,1696,,,,,
,2022,0000X S B12 ST,,RECKLESS FIREARM DISCHARGE,,,,1697,,,,,
,2023,0000X S B18 ST,,RECKLESS HOMICIDE,,,,1710,,,,,
,2024,0000X S B20 ST,,REFUSING TO AID AN OFFICER,,,,1715,,,,,
,2031,0000X S B5 ST,,RESIST/OBSTRUCT/DISARM OFFICER,,,,1720,,,,,
,2032,0000X S BAGGAGE LN,,RETAIL THEFT,,,,1725,,,,,
,2033,0000X S CALIFORNIA AVE,,SALE/DEL DRUG PARAPHERNALIA,,,,1750,,,,,
,2211,0000X S CANAL ST,,SALE/DIST OBSCENE MAT TO MINOR,,,,1751,,,,,
,2212,0000X S CENTRAL AVE,,SECOND DEGREE MURDER,,,,1752,,,,,
,2213,0000X S CENTRAL PARK BLVD,,SELL/ADVERTISE FIREWORKS,,,,1753,,,,,
,2221,0000X S CHECKPOINT ST,,SELL/GIVE/DEL LIQUOR TO MINOR,,,,1754,,,,,
,2222,0000X S CICERO AVE,,SEX ASSLT OF CHILD BY FAM MBR,,,,1755,,,,,
,2223,0000X S CLARK ST,,SEX OFFENDER: FAIL REG NEW ADD,,,,1775,,,,,
,2232,0000X S CLINTON ST,,SEX OFFENDER: FAIL TO REGISTER,,,,1780,,,,,
,2233,0000X S COLUMBUS DR,,SEX OFFENDER: PROHIBITED ZONE,,,,1790,,,,,
,2234,0000X S CONCOURSE A ST,,SEXUAL EXPLOITATION OF A CHILD,,,,1791,,,,,
,2411,0000X S CONCOURSE B ST,,SIMPLE,,,,1792,,,,,
,2412,0000X S DEARBORN ST,,SOLICIT FOR BUSINESS,,,,1811,,,,,
,2413,0000X S DESPLAINES ST,,SOLICIT FOR PROSTITUTE,,,,1812,,,,,
,2422,0000X S DOOR 3 ST,,SOLICIT NARCOTICS ON PUBLICWAY,,,,1821,,,,,
,2423,0000X S DOOR 4 ST,,SOLICIT OFF PUBLIC WAY,,,,1822,,,,,
